ID,歌名,創作人,分類,發佈時間,情緒詞彙數,斷詞數,樂,好,怒,哀,懼,惡,驚,正面情緒值,負面情緒值,正負面情緒值,詞均樂,詞均好,詞均怒,詞均哀,詞均懼,詞均惡,詞均驚,詞均正面情緒值,詞均負面情緒值,詞均正負面情緒值
StreetVoice0144,果然妳還是demo,告五人 Accusefive,Post rock,2015-12-28,18,57,5.0,18.5,0,7.0,0,28.0,9.0,32.5,35.0,-2.5,0.08771929824561403,0.32456140350877194,0.0,0.12280701754385964,0.0,0.49122807017543857,0.15789473684210525,0.5701754385964912,0.6140350877192983,-0.043859649122807015
StreetVoice0145,如果眼淚不是透明的demo,洪安妮 AnnieHung,Pop,2016-11-18,15,65,5.0,8.75,3.0,7.800000000000001,0,0.0,0,13.75,10.8,2.9499999999999993,0.07692307692307693,0.1346153846153846,0.046153846153846156,0.12000000000000001,0.0,0.0,0.0,0.21153846153846154,0.16615384615384615,0.04538461538461537
StreetVoice0146,無聲之詩[2014 demo],輕晨電,Pop,2014-07-24,3,24,0,-5.0,0,0,0,0,0,-5.0,0,-5.0,0.0,-0.20833333333333334,0.0,0.0,0.0,0.0,0.0,-0.20833333333333334,0.0,-0.20833333333333334
StreetVoice0147,歸屬 Eleanor,Vast&Hazy,Pop,2016-12-28,21,103,4.0,16.0,0,21.0,0,6.600000000000001,0,20.0,27.6,-7.600000000000001,0.038834951456310676,0.1553398058252427,0.0,0.20388349514563106,0.0,0.06407766990291264,0.0,0.1941747572815534,0.2679611650485437,-0.0737864077669903
StreetVoice0148,Mr.Gray 灰色先生 Demo,Control T,Folk,2016-11-29,27,104,0,-34.0,0,7.0,0,14.0,0,-34.0,21.0,-55.0,0.0,-0.3269230769230769,0.0,0.0673076923076923,0.0,0.1346153846153846,0.0,-0.3269230769230769,0.20192307692307693,-0.5288461538461539
StreetVoice0149,為什麼長大是那麼的痛 (專輯試聽版）,原子邦妮 Astro Bunny,Electronic,2014-05-07,20,98,10.0,27.599999999999998,0,1.0,0,5.4,0,37.599999999999994,6.4,31.199999999999996,0.10204081632653061,0.2816326530612245,0.0,0.01020408163265306,0.0,0.05510204081632653,0.0,0.38367346938775504,0.0653061224489796,0.31836734693877544
StreetVoice0150,你是被抹去的那一段風景 (tour mix),Hello Nico,Alternative,2018-02-02,20,83,-7.0,-8.0,0,-13.0,7.0,18.0,0,-15.0,12.0,-27.0,-0.08433734939759036,-0.0963855421686747,0.0,-0.1566265060240964,0.08433734939759036,0.21686746987951808,0.0,-0.18072289156626506,0.14457831325301204,-0.3253012048192771
StreetVoice0151,一人，一伴demo,ＨＵＳＨ,Pop,2014-07-03,18,102,1.0,32.5,0,7.35,0,5.0,0,33.5,12.35,21.15,0.00980392156862745,0.31862745098039214,0.0,0.07205882352941176,0.0,0.049019607843137254,0.0,0.3284313725490196,0.12107843137254902,0.20735294117647057
StreetVoice0152,接不接受,河仁傑,Pop,2013-07-11,99,324,-15.0,41.45,0,0,0,115.90265625,16.0,42.45,115.90265625,-73.45265625,-0.046296296296296294,0.1279320987654321,0.0,0.0,0.0,0.3577242476851852,0.04938271604938271,0.13101851851851853,0.3577242476851852,-0.22670572916666668
StreetVoice0153,故意沒帶雨傘demo,洪安妮 AnnieHung,Pop,2016-03-26,16,127,18.144,23.64,0,0,0,5.0,0,41.784,5.0,36.784,0.14286614173228346,0.18614173228346456,0.0,0.0,0.0,0.03937007874015748,0.0,0.32900787401574805,0.03937007874015748,0.2896377952755905
StreetVoice0154,已經demo,洪安妮 AnnieHung,Pop,2013-11-10,27,96,10.0,50.75,0,-9.5,0,6.0,0,60.75,-3.5,64.25,0.10416666666666667,0.5286458333333334,0.0,-0.09895833333333333,0.0,0.0625,0.0,0.6328125,-0.036458333333333336,0.6692708333333334
StreetVoice0155,03 Cheers,牛奶白MilkWhite,Blues,2016-05-26,36,177,-5.0,7.0,0,-19.5,0,35.25,0,2.0,15.75,-13.75,-0.02824858757062147,0.03954802259887006,0.0,-0.11016949152542373,0.0,0.19915254237288135,0.0,0.011299435028248588,0.08898305084745763,-0.07768361581920905
StreetVoice0156,陌生的房間陌生的下午,Hello Nico,Alternative,2015-02-16,7,47,0,15.5,0,0,0,0,0,15.5,0,15.5,0.0,0.32978723404255317,0.0,0.0,0.0,0.0,0.0,0.32978723404255317,0.0,0.32978723404255317
StreetVoice0157,驕傲的鯨魚 demo,告五人 Accusefive,Pop,2017-08-08,12,90,0,7.0,0,3.0,3.0,26.75,0,7.0,32.75,-25.75,0.0,0.07777777777777778,0.0,0.03333333333333333,0.03333333333333333,0.2972222222222222,0.0,0.07777777777777778,0.3638888888888889,-0.2861111111111111
